mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.504530744Z level=info msg="Migration successfully executed" id="Add column folder in resource_history" duration=9.398619ms
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.509143913Z level=info msg="Executing migration" id="Add column folder in resource"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.51813087Z level=info msg="Migration successfully executed" id="Add column folder in resource" duration=8.985937ms
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.523110069Z level=info msg="Executing migration" id="Migrate DeletionMarkers to real Resource objects"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=deletion-marker-migrator t=2025-04-08T17:56:43.5231698Z level=info msg="finding any deletion markers"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.523828188Z level=info msg="Migration successfully executed" id="Migrate DeletionMarkers to real Resource objects" duration=718.185µs
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.52840949Z level=info msg="migrations completed" performed=23 skipped=0 duration=178.668553ms
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=resource-migrator t=2025-04-08T17:56:43.529093473Z level=info msg="Unlocking database"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=sql-resource-server t=2025-04-08T17:56:43.529214542Z level=info msg="Using channel notifier"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=plugin.store t=2025-04-08T17:56:43.539613134Z level=info msg="Loading plugins..."
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=plugin.store t=2025-04-08T17:56:43.61311658Z level=info msg="Plugins loaded" count=55 duration=73.504369ms
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=query_data t=2025-04-08T17:56:43.620536352Z level=info msg="Query Service initialization"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=live.push_http t=2025-04-08T17:56:43.629412694Z level=info msg="Live Push Gateway initialization"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=ngalert.notifier.alertmanager org=1 t=2025-04-08T17:56:43.635170318Z level=info msg="Applying new configuration to Alertmanager" configHash=d2c56faca6af2a5772ff4253222f7386
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=ngalert t=2025-04-08T17:56:43.647320811Z level=info msg="Using simple database alert instance store"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=ngalert.state.manager.persist t=2025-04-08T17:56:43.647389605Z level=info msg="Using sync state persister"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=ngalert.state.manager t=2025-04-08T17:56:43.647460332Z level=info msg="Running in alternative execution of Error/NoData mode"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=infra.usagestats.collector t=2025-04-08T17:56:43.650138237Z level=info msg="registering usage stat providers" usageStatsProvidersLen=2
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=ngalert.state.manager t=2025-04-08T17:56:43.658198984Z level=info msg="Warming state cache for startup"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=grafanaStorageLogger t=2025-04-08T17:56:43.658267816Z level=info msg="Storage starting"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=ngalert.multiorg.alertmanager t=2025-04-08T17:56:43.658278952Z level=info msg="Starting MultiOrg Alertmanager"
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=plugin.backgroundinstaller t=2025-04-08T17:56:43.660850614Z level=info msg="Installing plugin" pluginId=grafana-pyroscope-app version=
mysticmail_grafana.1.ij6tnnmh32vw@docker-desktop    | logger=http.server t=2025-04-08T17:56:43.664690698Z level=info msg="HTTP Server Listen" address=[::]:3000 protocol=http subUrl= socket=
